timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1606188710956,5,HTTP Request POST,200,, POST Thread Group 2-17,,true,,121,277,1,2,http://localhost:8091/api/bankaccount,5,0,0
1606188710961,5,HTTP Request POST,200,, POST Thread Group 2-17,,true,,121,277,1,2,http://localhost:8091/api/bankaccount,5,0,0
1606188710961,8,HTTP Request GET,200,,Get thread Group 1-9,text,true,,29270,134,1,2,http://localhost:8091/api/bankaccount,7,0,0
1606188710966,6,HTTP Request POST,200,, POST Thread Group 2-17,,true,,121,277,1,2,http://localhost:8091/api/bankaccount,6,0,0
1606188710969,7,HTTP Request GET,200,,Get thread Group 1-9,text,true,,29440,134,1,1,http://localhost:8091/api/bankaccount,7,0,0
1606188710992,5,HTTP Request POST,200,, POST Thread Group 2-18,,true,,121,277,1,1,http://localhost:8091/api/bankaccount,5,0,1
1606188710998,4,HTTP Request POST,200,, POST Thread Group 2-18,,true,,121,277,1,1,http://localhost:8091/api/bankaccount,4,0,0
1606188711003,4,HTTP Request POST,200,, POST Thread Group 2-18,,true,,121,277,1,1,http://localhost:8091/api/bankaccount,4,0,0
1606188711008,4,HTTP Request POST,200,, POST Thread Group 2-18,,true,,121,277,1,1,http://localhost:8091/api/bankaccount,4,0,0
1606188711013,4,HTTP Request POST,200,, POST Thread Group 2-18,,true,,121,277,1,1,http://localhost:8091/api/bankaccount,4,0,0
1606188711022,7,HTTP Request GET,200,,Get thread Group 1-10,text,true,,29865,134,1,1,http://localhost:8091/api/bankaccount,6,0,1
1606188711029,7,HTTP Request GET,200,,Get thread Group 1-10,text,true,,29865,134,1,1,http://localhost:8091/api/bankaccount,7,0,0
1606188711036,8,HTTP Request GET,200,,Get thread Group 1-10,text,true,,29865,134,1,2,http://localhost:8091/api/bankaccount,7,0,0
1606188711045,7,HTTP Request POST,200,, POST Thread Group 2-19,,true,,121,277,1,2,http://localhost:8091/api/bankaccount,7,0,1
1606188711045,9,HTTP Request GET,200,,Get thread Group 1-10,text,true,,29865,134,1,2,http://localhost:8091/api/bankaccount,9,0,0
1606188711053,6,HTTP Request POST,200,, POST Thread Group 2-19,,true,,121,277,1,2,http://localhost:8091/api/bankaccount,6,0,0
1606188711055,9,HTTP Request GET,200,,Get thread Group 1-10,text,true,,30035,134,1,2,http://localhost:8091/api/bankaccount,8,0,0
1606188711060,6,HTTP Request POST,200,, POST Thread Group 2-19,,true,,121,277,1,1,http://localhost:8091/api/bankaccount,6,0,0
1606188711066,6,HTTP Request POST,200,, POST Thread Group 2-19,,true,,121,277,1,1,http://localhost:8091/api/bankaccount,6,0,0
